name,esc,timestamp,patron_1,patron_2,patron_3,patron_4
CFTC USD NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,9,38551
CFTC USD NC Net Positions,D,2019-12-06 20:30:00+00:00,1,1,12,32053
Durable Goods Orders,A,2019-11-27 13:30:00+00:00,0,0,0,16967
Durable Goods Orders,D,2019-12-23 13:30:00+00:00,0,0,3,12958
Business Inventories,A,2019-12-13 15:00:00+00:00,0,0,3,20159
Business Inventories,D,2019-10-16 14:00:00+00:00,0,0,1,11533
Core Personal Consumption Expenditure,A,2019-12-20 15:00:00+00:00,0,0,9,51528
Core Personal Consumption Expenditure,D,2019-11-27 15:00:00+00:00,2,4,22,17898
Retail Sales MoM,A,2019-11-26 12:00:00+00:00,0,0,16,32319
Retail Sales MoM,D,2019-12-20 12:00:00+00:00,0,0,14,31654
Chicago Purchasing Managers' Index,A,2019-12-30 14:45:00+00:00,0,0,7,17993
Chicago Purchasing Managers' Index,D,2019-10-31 13:45:00+00:00,0,0,3,17290
ADP Employment Change,A,2019-09-05 12:15:00+00:00,0,0,0,18050
ADP Employment Change,D,2019-12-04 13:15:00+00:00,0,0,8,12597
Nonfarm Payrolls,A,2019-12-06 13:30:00+00:00,0,0,5,16910
Nonfarm Payrolls,D,2019-09-06 12:30:00+00:00,0,0,2,13338
Producer Price Index MoM,A,2019-11-14 13:30:00+00:00,0,0,4,16910
Producer Price Index MoM,D,2019-12-12 13:30:00+00:00,0,0,2,12236
API Weekly Crude Oil Stock,A,2019-12-31 21:30:00+00:00,0,0,6,39976
API Weekly Crude Oil Stock,D,2019-12-24 21:30:00+00:00,0,0,8,42161
4-Week Bill Auction,A,2019-12-26 16:30:00+00:00,0,0,30,81301
4-Week Bill Auction,D,2019-12-19 16:30:00+00:00,0,2,25,56848
Markit PMI Composite,A,2019-12-16 14:45:00+00:00,1,1,12,23028
Markit PMI Composite,D,2019-11-05 14:45:00+00:00,0,0,8,20159
Personal Income MoM,A,2019-12-20 15:00:00+00:00,0,0,5,19817
Personal Income MoM,D,2019-11-27 15:00:00+00:00,0,0,2,11875
