name,esc,timestamp,patron_1,patron_2,patron_3,patron_4
CFTC USD NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,4,8640
CFTC USD NC Net Positions,D,2019-12-06 20:30:00+00:00,1,1,7,7416
Durable Goods Orders,A,2019-11-27 13:30:00+00:00,0,0,0,3888
Durable Goods Orders,D,2019-12-23 13:30:00+00:00,0,0,0,2754
Business Inventories,A,2019-12-13 15:00:00+00:00,0,0,2,4437
Business Inventories,D,2019-10-16 14:00:00+00:00,0,0,0,2673
Core Personal Consumption Expenditure,A,2019-12-20 15:00:00+00:00,0,0,8,11538
Core Personal Consumption Expenditure,D,2019-11-27 15:00:00+00:00,0,0,4,4023
Retail Sales MoM,A,2019-11-26 12:00:00+00:00,0,0,7,7263
Retail Sales MoM,D,2019-12-20 12:00:00+00:00,0,0,3,6948
Chicago Purchasing Managers' Index,A,2019-12-30 14:45:00+00:00,0,0,4,4032
Chicago Purchasing Managers' Index,D,2019-10-31 13:45:00+00:00,0,0,1,3717
ADP Employment Change,A,2019-09-05 12:15:00+00:00,0,0,0,4050
ADP Employment Change,D,2019-12-04 13:15:00+00:00,0,0,0,2916
Nonfarm Payrolls,A,2019-12-06 13:30:00+00:00,0,0,2,4122
Nonfarm Payrolls,D,2019-09-06 12:30:00+00:00,0,0,0,2997
Producer Price Index MoM,A,2019-11-14 13:30:00+00:00,0,0,0,3726
Producer Price Index MoM,D,2019-12-12 13:30:00+00:00,0,0,1,2583
API Weekly Crude Oil Stock,A,2019-12-31 21:30:00+00:00,0,0,14,9045
API Weekly Crude Oil Stock,D,2019-12-24 21:30:00+00:00,0,0,2,9621
4-Week Bill Auction,A,2019-12-26 16:30:00+00:00,0,0,4,18369
4-Week Bill Auction,D,2019-12-19 16:30:00+00:00,0,0,8,12924
Markit PMI Composite,A,2019-12-16 14:45:00+00:00,0,0,0,5346
Markit PMI Composite,D,2019-11-05 14:45:00+00:00,0,0,7,4518
Personal Income MoM,A,2019-12-20 15:00:00+00:00,0,0,1,4365
Personal Income MoM,D,2019-11-27 15:00:00+00:00,0,0,3,2736
Producer Price Index YoY,A,2019-09-11 12:30:00+00:00,0,0,0,3807
Producer Price Index YoY,D,2019-10-08 12:30:00+00:00,0,0,0,2997
Wholesale Inventories,A,2019-11-26 13:30:00+00:00,0,0,2,6228
Wholesale Inventories,D,2019-12-30 13:30:00+00:00,0,0,2,4365
Markit Manufacturing PMI,A,2019-12-02 14:45:00+00:00,0,0,1,7524
Markit Manufacturing PMI,D,2019-11-01 13:45:00+00:00,0,0,5,6210
Markit Services PMI,A,2019-12-16 14:45:00+00:00,0,0,0,5670
Markit Services PMI,D,2019-11-05 14:45:00+00:00,0,0,7,5328
NAHB Housing Market Index,A,2019-12-16 15:00:00+00:00,0,0,5,5067
NAHB Housing Market Index,D,2019-11-18 15:00:00+00:00,0,0,1,3231
Consumer Price Index ex Food  Energy MoM,A,2019-12-11 13:30:00+00:00,0,0,12,4905
Housing Starts MoM,A,2019-12-17 13:30:00+00:00,0,0,2,4446
Housing Starts MoM,D,2019-10-17 12:30:00+00:00,0,0,1,3879
Retail Sales ex Autos MoM,A,2019-08-15 12:30:00+00:00,0,0,0,3888
Retail Sales ex Autos MoM,D,2019-12-13 13:30:00+00:00,0,0,8,3303
Redbook Index YoY,A,2019-12-31 13:55:00+00:00,0,0,9,17451
Redbook Index YoY,D,2019-12-17 13:55:00+00:00,0,0,7,13734
Redbook Index MoM,A,2019-12-31 13:55:00+00:00,0,0,11,19953
Redbook Index MoM,D,2019-12-17 13:55:00+00:00,0,0,5,11232
ISM Manufacturing PMI,A,2019-04-01 14:00:00+00:00,0,0,4,4590
ISM Manufacturing PMI,D,2019-12-02 15:00:00+00:00,0,0,10,3609
SPCase-Shiller Home Price Indices YoY,A,2019-12-31 14:00:00+00:00,0,0,2,3951
SPCase-Shiller Home Price Indices YoY,D,2019-09-24 13:00:00+00:00,0,0,0,2916
Factory Orders MoM,A,2019-12-05 15:00:00+00:00,0,0,3,3312
Factory Orders MoM,D,2019-11-04 15:00:00+00:00,0,0,9,2493
EIA Crude Oil Stocks Change,A,2019-12-11 15:30:00+00:00,0,0,9,16965
EIA Crude Oil Stocks Change,B,2019-09-05 15:00:00+00:00,0,0,0,3159
EIA Crude Oil Stocks Change,C,2019-12-18 15:30:00+00:00,0,0,9,5004
EIA Crude Oil Stocks Change,D,2019-12-27 16:00:00+00:00,0,0,7,16470
Consumer Credit Change,A,2019-12-06 20:00:00+00:00,0,0,0,4455
Consumer Credit Change,D,2019-11-07 20:00:00+00:00,0,0,1,3636
Import Price Index MoM,A,2019-12-13 13:30:00+00:00,0,0,1,3150
Import Price Index MoM,D,2019-11-15 13:30:00+00:00,0,0,1,2502
Industrial Production MoM,A,2019-12-17 14:15:00+00:00,0,0,5,3699
Industrial Production MoM,D,2019-11-15 14:15:00+00:00,0,0,3,4194
NY Empire State Manufacturing Index,A,2019-10-14 20:00:00+00:00,0,0,6,3780
NY Empire State Manufacturing Index,D,2019-11-15 13:30:00+00:00,0,0,6,4122
