name,esc,timestamp,patron_1,patron_2,patron_3,patron_4
Core Personal Consumption Expenditure,A,2012-10-29 12:30:00+00:00,0,0,2,14402
EIA Crude Oil Stocks Change,A,2012-12-28 16:00:00+00:00,0,0,8,24111
EIA Crude Oil Stocks Change,D,2012-12-19 15:30:00+00:00,1,1,2,22705
Continuing Jobless Claims,A,2012-12-20 13:30:00+00:00,1,1,4,22667
Continuing Jobless Claims,C,2012-12-27 13:30:00+00:00,0,0,2,7923
Continuing Jobless Claims,D,2012-12-06 13:30:00+00:00,0,0,3,16948
Michigan Consumer Sentiment Index,A,2012-11-09 14:55:00+00:00,0,0,0,12635
Initial Jobless Claims,A,2012-12-20 13:30:00+00:00,1,1,6,21584
Initial Jobless Claims,C,2012-11-29 13:30:00+00:00,0,0,2,9006
Initial Jobless Claims,D,2012-12-13 13:30:00+00:00,0,0,1,15865
