,categoria,frecuencia,id,nombre,ocurrencias,pais,tipo_1,tipo_2,tipo_3,tipo_4
0,subasta de bonos,semanal,3-Montuction_USA,3-Month Bill Auction,392,USA,0.0,1.0,1.0,1.0
1,subasta de bonos,semanal,4-Weekuction_USA,4-Week Bill Auction,391,USA,0.0,0.0,1.0,1.0
2,subasta de bonos,semanal,6-Montuction_USA,6-Month Bill Auction,395,USA,0.0,1.0,1.0,1.0
3,mercado laboral,mensual,ADPEmpChange_USA,ADP Employment Change,120,USA,0.0,0.0,1.0,1.0
4,energia,semanal,APIWeelStock_USA,API Weekly Crude Oil Stock,235,USA,1.0,1.0,1.0,1.0
5,mercado laboral,mensual,AveragngsMoM_USA,Average Hourly Earnings MoM,120,USA,0.0,0.0,1.0,1.0
6,mercado laboral,mensual,AveragyHours_USA,Average Weekly Hours,120,USA,0.0,0.0,1.0,1.0
7,energia,semanal,BakerHgCount_USA,Baker Hughes US Oil Rig Count,235,USA,0.0,0.0,1.0,1.0
8,mercado inmobiliario,mensual,BuildiitsMoM_USA,Building Permits MoM,121,USA,0.0,0.0,1.0,1.0
9,consumo,mensual,Businetories_USA,Business Inventories,120,USA,0.0,0.0,1.0,1.0
10,flujos de capital,semanal,CFTCGoitions_USA,CFTC Gold NC Net Positions,205,USA,0.0,0.0,1.0,1.0
11,flujos de capital,semanal,CFTCOiitions_USA,CFTC Oil NC Net Positions,205,USA,0.0,0.0,1.0,1.0
12,flujos de capital,semanal,CFTCUSitions_USA,CFTC USD NC Net Positions,206,USA,0.0,0.0,1.0,1.0
13,consumo,mensual,Capacization_USA,Capacity Utilization,120,USA,0.0,0.0,1.0,1.0
14,consumo,mensual,Chicag'Index_USA,Chicago Purchasing Managers' Index,100,USA,0.0,0.0,1.0,1.0
15,mercado inmobiliario,mensual,ConstringMoM_USA,Construction Spending MoM,120,USA,0.0,0.0,1.0,1.0
16,consumo,mensual,ConsumChange_USA,Consumer Credit Change,120,USA,0.0,0.0,1.0,1.0
17,consumo,mensual,ConsumdexMoM_USA,Consumer Price Index MoM,104,USA,0.0,0.0,1.0,1.0
18,consumo,mensual,ConsumdexYoY_USA,Consumer Price Index YoY,96,USA,0.0,0.0,1.0,1.0
19,consumo,mensual,ConsumrgyMoM_USA,Consumer Price Index ex Food  Energy MoM,120,USA,0.0,0.0,1.0,1.0
20,consumo,mensual,ConsumrgyYoY_USA,Consumer Price Index ex Food  Energy YoY,120,USA,0.0,0.0,1.0,1.0
21,mercado laboral,semanal,ContinClaims_USA,Continuing Jobless Claims,521,USA,0.0,1.0,1.0,1.0
22,consumo,semanal,CorePediture_USA,Core Personal Consumption Expenditure,239,USA,0.0,0.0,1.0,1.0
23,consumo,mensual,DurablOrders_USA,Durable Goods Orders,122,USA,0.0,0.0,1.0,1.0
24,consumo,mensual,Durabltation_USA,Durable Goods Orders ex Transportation,122,USA,0.0,1.0,1.0,1.0
25,energia,semanal,EIACruChange_USA,EIA Crude Oil Stocks Change,521,USA,1.0,1.0,1.0,1.0
26,energia,semanal,EIANatChange_USA,EIA Natural Gas Storage Change,408,USA,1.0,1.0,1.0,1.0
27,mercado inmobiliario,mensual,ExistilesMoM_USA,Existing Home Sales MoM,119,USA,0.0,0.0,1.0,1.0
28,actividad economica,mensual,FactorersMoM_USA,Factory Orders MoM,120,USA,0.0,0.0,1.0,1.0
29,mercado inmobiliario,mensual,HousinrtsMoM_USA,Housing Starts MoM,120,USA,0.0,0.0,1.0,1.0
30,actividad economica,mensual,ISMManingPMI_USA,ISM Manufacturing PMI,93,USA,0.0,0.0,1.0,1.0
31,actividad economica,mensual,ISMNoningPMI_USA,ISM Non-Manufacturing PMI,120,USA,0.0,0.0,1.0,1.0
32,actividad economica,mensual,ImportdexMoM_USA,Import Price Index MoM,120,USA,0.0,0.0,1.0,1.0
33,actividad economica,mensual,IndustionMoM_USA,Industrial Production MoM,104,USA,0.0,0.0,1.0,1.0
34,mercado laboral,semanal,InitiaClaims_USA,Initial Jobless Claims,520,USA,1.0,1.0,1.0,1.0
35,actividad economica,semanal,MarkitcesPMI_USA,Markit Services PMI,134,USA,0.0,0.0,1.0,1.0
36,actividad economica,semanal,MarkitingPMI_USA,Markit Manufacturing PMI,145,USA,0.0,0.0,1.0,1.0
37,actividad economica,semanal,Markitposite_USA,Markit PMI Composite,184,USA,0.0,0.0,1.0,1.0
38,actividad economica,semanal,MichigtIndex_USA,Michigan Consumer Sentiment Index,240,USA,0.0,0.0,1.0,1.0
39,mercado inmobiliario,mensual,Monthltement_USA,Monthly Budget Statement,120,USA,0.0,0.0,1.0,1.0
40,actividad economica,mensual,NAHBHotIndex_USA,NAHB Housing Market Index,120,USA,0.0,0.0,1.0,1.0
41,flujos de capital,mensual,NYEmpigIndex_USA,NY Empire State Manufacturing Index,120,USA,0.0,0.0,1.0,1.0
42,mercado inmobiliario,mensual,NetLonCFlows_USA,Net Long-Term TIC Flows,120,USA,0.0,0.0,1.0,1.0
43,mercado laboral,mensual,NewHomlesMoM_USA,New Home Sales MoM,120,USA,0.0,0.0,1.0,1.0
44,mercado inmobiliario,mensual,NewHomngeMoM_USA,New Home Sales Change MoM,120,USA,0.0,0.0,1.0,1.0
45,mercado laboral,mensual,Nonfaryrolls_USA,Nonfarm Payrolls,79,USA,0.0,0.0,1.0,1.0
46,consumo,mensual,Personitures_USA,Personal Consumption Expenditures,88,USA,0.0,0.0,1.0,1.0
47,consumo,mensual,PhiladSurvey_USA,Philadelphia Fed Manufacturing Survey,120,USA,0.0,0.0,1.0,1.0
48,consumo,mensual,ProducdexMoM_USA,Producer Price Index MoM,120,USA,0.0,0.0,1.0,1.0
49,consumo,mensual,ProducdexYoY_USA,Producer Price Index YoY,120,USA,0.0,0.0,1.0,1.0
50,consumo,semanal,RedboodexMoM_USA,Redbook Index MoM,390,USA,0.0,0.0,1.0,1.0
51,consumo,semanal,RedboodexYoY_USA,Redbook Index YoY,390,USA,0.0,0.0,1.0,1.0
52,consumo,mensual,RetaillesMoM_MEX,Retail Sales MoM,120,MEX,0.0,0.0,1.0,1.0
53,flujos de capital,mensual,RetailtosMoM_USA,Retail Sales ex Autos MoM,120,USA,0.0,0.0,1.0,1.0
